,h,A
102,-70.54245257361671,
103,-70.3636700544992,
104,-70.18488753538168,
105,-70.00610501626414,
106,-69.82732249714662,
107,-69.6485399780291,
108,-69.46975745891159,
109,-69.29097493979407,
110,-69.11219242067654,
111,-68.93340990155902,
112,-68.7546273824415,
113,-68.57584486332398,
114,-68.39706234420645,
115,-68.21827982508893,
116,-68.03949730597141,
117,-67.86071478685389,
118,-67.68193226773637,
119,-67.50314974861884,
120,-67.32436722950132,
121,-67.1455847103838,
122,-66.96680219126628,
123,-66.78801967214875,
124,-66.60923715303123,
125,-66.43045463391371,
126,-66.2516721147962,
127,-66.07288959567867,
128,-65.89410707656114,
129,-65.71532455744362,
130,-65.5365420383261,
131,-65.35775951920859,
132,-65.17897700009105,
133,-65.00019448097353,
134,-64.82141196185601,
135,-64.6426294427385,
136,-64.46384692362096,
137,-64.28506440450344,
138,-64.10628188538593,
139,-63.92749936626841,
140,-63.74871684715088,
141,-63.56993432803336,
142,-63.391151808915836,
143,-63.21236928979832,
144,-63.03358677068079,
145,-62.85480425156327,
146,-62.67602173244575,
147,-62.49723921332823,
148,-62.31845669421071,
149,-62.139674175093184,
150,-61.960891655975665,
151,-61.78210913685814,
152,-61.60332661774062,
153,-61.424544098623095,
154,-61.245761579505576,
155,-61.06697906038805,
156,-60.88819654127053,
157,-60.70941402215301,
158,-60.53063150303549,
159,-60.35184898391797,
160,-60.17306646480044,
161,-59.99428394568292,
162,-59.8155014265654,
163,-59.63671890744788,
164,-59.45793638833035,
165,-59.279153869212834,
166,-59.10037135009531,
167,-58.92158883097779,
168,-58.74280631186027,
169,-58.564023792742745,
170,-58.385241273625226,
171,-58.2064587545077,
172,-58.02767623539018,
173,-57.848893716272656,
174,-57.67011119715514,
175,-57.49132867803761,
176,-57.31254615892009,
177,-57.13376363980257,
178,-56.95498112068504,
179,-56.77619860156752,
180,-56.59741608244999,
181,-56.41863356333247,
182,-56.23985104421495,
183,-56.061068525097426,
184,-55.88228600597991,
185,-55.70350348686238,
186,-55.52472096774486,
187,-55.34593844862734,
188,-55.16715592950982,
189,-54.98837341039229,
190,-54.80959089127477,
191,-54.63080837215725,
192,-54.45202585303973,
193,-54.27324333392221,
194,-54.094460814804684,
195,-53.915678295687165,
196,-53.73689577656964,
197,-53.55811325745212,
198,-53.379330738334595,
199,-53.200548219217076,
200,-53.02176570009955,
201,-52.84298318098203,
202,-52.66420066186451,
203,-52.48541814274699,
204,-52.30663562362947,
205,-52.12785310451194,
206,-51.94907058539442,
207,-51.7702880662769,
208,-51.59150554715938,
209,-51.41272302804185,
210,-51.233940508924334,
211,-51.05515798980681,
212,-50.87637547068929,
213,-50.69759295157177,
214,-50.518810432454245,
215,-50.340027913336726,
216,-50.1612453942192,
217,-49.98246287510168,
218,-49.803680355984156,
219,-49.62489783686664,
220,-49.44611531774911,
221,-49.26733279863159,
222,-49.088550279514074,
223,-48.90976776039655,
224,-48.73098524127903,
225,-48.5522027221615,
226,-48.373420203043985,
227,-48.19463768392646,
228,-48.01585516480894,
229,-47.837072645691414,
230,-47.658290126573895,
231,-47.47950760745637,
232,-47.300725088338844,
233,-47.121942569221325,
234,-46.9431600501038,
235,-46.76437753098628,
236,-46.585595011868755,
237,-46.406812492751236,
238,-46.22802997363371,
239,-46.04924745451619,
240,-45.87046493539867,
241,-45.69168241628115,
242,-45.51289989716363,
243,-45.3341173780461,
244,-45.15533485892858,
245,-44.97655233981106,
246,-44.79776982069354,
247,-44.61898730157601,
248,-44.440204782458494,
249,-44.261422263340975,
250,-44.08263974422345,
251,-43.90385722510593,
252,-43.725074705988405,
253,-43.546292186870886,
254,-43.36750966775336,
255,-43.18872714863584,
256,-43.009944629518316,
257,-42.8311621104008,
258,-42.65237959128327,
259,-42.47359707216575,
260,-42.294814553048234,
261,-42.11603203393071,
262,-41.93724951481319,
263,-41.75846699569566,
264,-41.579684476578144,
265,-41.40090195746062,
266,-41.2221194383431,
267,-41.043336919225574,
268,-40.864554400108055,
269,-40.685771880990536,
270,-40.50698936187301,
271,-40.32820684275549,
272,-40.149424323637966,
273,-39.97064180452045,
274,-39.79185928540292,
275,-39.6130767662854,
276,-39.43429424716788,
277,-39.25551172805036,
278,-39.07672920893283,
279,-38.89794668981531,
280,-38.719164170697795,
281,-38.54038165158027,
282,-38.36159913246274,
283,-38.18281661334522,
284,-38.0040340942277,
285,-37.82525157511017,
286,-37.646469055992654,
287,-37.467686536875135,
288,-37.28890401775761,
289,-37.11012149864009,
290,-36.931338979522565,
291,-36.752556460405046,
292,-36.57377394128752,
293,-36.39499142217,
294,-36.216208903052475,
295,-36.03742638393496,
296,-35.85864386481744,
297,-35.67986134569991,
298,-35.50107882658239,
299,-35.32229630746487,
300,-35.14351378834735,
301,-34.96473126922982,
302,-34.785948750112304,
303,-34.60716623099478,
304,-34.42838371187726,
305,-34.249601192759734,
306,-34.070818673642215,
307,-33.892036154524696,
308,-33.71325363540717,
309,-33.53447111628965,
310,-33.355688597172126,
311,-33.17690607805461,
312,-32.99812355893708,
313,-32.81934103981956,
314,-32.64055852070204,
315,-32.46177600158452,
316,-32.282993482467,
317,-32.10421096334947,
318,-31.92542844423195,
319,-31.74664592511443,
320,-31.567863405996906,
321,-31.389080886879388,
322,-31.210298367761865,
323,-31.031515848644343,
324,-30.85273332952682,
325,-30.6739508104093,
326,-30.495168291291776,
327,-30.316385772174254,
328,-30.13760325305673,
329,-29.95882073393921,
330,-29.780038214821687,
331,-29.601255695704168,
332,-29.422473176586646,
333,-29.243690657469124,
334,-29.0649081383516,
335,-28.88612561923408,
336,-28.707343100116557,
337,-28.528560580999034,
338,-28.349778061881512,
339,-28.17099554276399,
340,-27.992213023646467,
341,-27.81343050452895,
342,-27.634647985411426,
343,-27.455865466293904,
344,-27.277082947176382,
345,-27.09830042805886,
346,-26.919517908941337,
347,-26.740735389823815,
348,-26.561952870706293,
349,-26.38317035158877,
350,-26.204387832471248,
351,-26.02560531335373,
352,-25.846822794236207,
353,-25.668040275118685,
354,-25.489257756001162,
355,-25.31047523688364,
356,-25.131692717766118,
357,-24.952910198648595,
358,-24.774127679531073,
359,-24.59534516041354,
360,-24.416562641296018,
361,-24.237780122178496,
362,-24.058997603060973,
363,-23.88021508394345,
364,-23.70143256482593,
365,-23.522650045708406,
366,-23.343867526590888,
367,-23.165085007473365,
368,-22.986302488355843,
369,-22.80751996923832,
370,-22.6287374501208,
371,-22.449954931003276,
372,-22.271172411885754,
373,-22.09238989276823,
374,-21.91360737365071,
375,-21.734824854533187,
